,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Harlem Baby,155297,2,79,Baby Shit,1,True,1,2019-07-29,Fergie Baby,0.857,0.511,8,-6.788,1,0.447,0.12,0.0,0.12,0.89,140.123,4
1,Thoopid,180035,4,79,Baby Shit,1,True,2,2019-07-29,Fergie Baby,0.921,0.581,8,-7.21,1,0.388,0.018,0.0,0.0833,0.585,130.053,4
2,Never Fall,134791,0,79,Baby Shit,1,True,3,2019-07-29,Fergie Baby,0.614,0.638,1,-8.706,1,0.3,0.0434,0.0,0.1,0.0378,95.223,4
3,Click,128182,0,79,Baby Shit,1,True,4,2019-07-29,Fergie Baby,0.758,0.519,2,-9.348,0,0.417,0.818,0.0,0.132,0.646,128.067,4
4,Duhhh Interlude,80953,0,79,Baby Shit,1,True,5,2019-07-29,Fergie Baby,0.565,0.798,0,-12.8,0,0.805,0.708,5.55e-06,0.693,0.0376,65.879,3
5,Blues,218044,1,79,Baby Shit,1,True,6,2019-07-29,Fergie Baby,0.82,0.561,9,-7.886,1,0.257,0.111,0.0,0.587,0.324,125.755,4
6,Baby Bottle,147513,0,79,Baby Shit,1,True,7,2019-07-29,Fergie Baby,0.763,0.648,7,-6.251,0,0.323,0.0615,0.0,0.348,0.901,146.265,4
7,Street Code,170187,1,79,Baby Shit,1,True,8,2019-07-29,Fergie Baby,0.51,0.907,4,-1.794,0,0.401,0.0582,0.0,0.438,0.227,176.614,4
8,It's Neaky,167026,2,79,Baby Shit,1,True,9,2019-07-29,Fergie Baby,0.803,0.69,8,-5.841,1,0.248,0.231,0.0,0.296,0.72,92.396,4
9,Dirty Kitchen,136045,0,79,Baby Shit,1,True,10,2019-07-29,Fergie Baby,0.58,0.548,6,-10.315,0,0.44,0.18,0.0,0.207,0.867,89.339,5
10,Timeless,216032,0,79,"Are You Dum?!, Vol. 1",1,True,1,2018-09-25,Fergie Baby,0.506,0.541,10,-11.149,0,0.854,0.498,0.0,0.105,0.131,66.769,3
11,God Is from Harlem,37642,0,79,"Are You Dum?!, Vol. 1",1,True,2,2018-09-25,Fergie Baby,0.689,0.309,10,-15.95,0,0.453,0.872,0.0,0.29,0.855,50.596,4
12,Bleachers,167235,6,79,"Are You Dum?!, Vol. 1",1,True,3,2018-09-25,Fergie Baby,0.662,0.526,2,-9.549,1,0.315,0.157,0.0,0.284,0.349,75.079,4
13,Shittin' Me,164597,3,79,"Are You Dum?!, Vol. 1",1,True,4,2018-09-25,Fergie Baby,0.867,0.741,1,-6.529,0,0.341,0.192,0.0,0.271,0.597,139.956,4
14,Steve-O,186488,2,79,"Are You Dum?!, Vol. 1",1,True,5,2018-09-25,Fergie Baby,0.84,0.408,5,-10.983,0,0.498,0.135,0.0,0.131,0.563,130.155,4
15,Gotta Love It,176927,0,79,"Are You Dum?!, Vol. 1",1,True,6,2018-09-25,Fergie Baby,0.723,0.908,1,-5.04,1,0.281,0.154,0.0,0.152,0.788,95.069,4
16,Firey,87562,0,79,"Are You Dum?!, Vol. 1",1,True,7,2018-09-25,Fergie Baby,0.954,0.225,1,-16.055,0,0.464,0.102,0.0,0.0581,0.605,121.087,4
17,Milo (Get That),151431,1,79,"Are You Dum?!, Vol. 1",1,True,8,2018-09-25,Fergie Baby,0.872,0.558,1,-9.846,1,0.194,0.0223,0.0,0.138,0.324,129.99,4
18,Who Lit,117707,1,79,"Are You Dum?!, Vol. 1",1,True,9,2018-09-25,Fergie Baby,0.614,0.838,4,-6.118,0,0.323,0.361,0.0,0.217,0.606,78.065,4
19,Are You Dum,62040,0,79,"Are You Dum?!, Vol. 1",1,True,10,2018-09-25,Fergie Baby,0.704,0.192,11,-19.81,1,0.902,0.919,0.0,0.623,0.567,103.972,3
20,Curry,247536,0,79,"Are You Dum?!, Vol. 1",1,True,11,2018-09-25,Fergie Baby,0.804,0.619,5,-8.77,0,0.236,0.146,0.0,0.091,0.57,110.007,4
21,Uptown's Back,171676,6,79,Uptown's Back,1,True,1,2019-12-25,Fergie Baby,0.841,0.638,11,-7.288,1,0.572,0.0565,0.0,0.353,0.568,161.067,4
22,LA Freestyle,96731,0,79,LA Freestyle,1,True,1,2019-11-20,Fergie Baby,0.838,0.487,6,-11.669,1,0.55,0.286,0.0,0.137,0.359,140.273,4
23,Street Code,170187,0,79,Street Code,1,True,1,2019-01-14,Fergie Baby,0.49,0.701,4,-9.011,0,0.352,0.0249,0.0,0.355,0.265,175.004,4
24,Shittin Me,164623,4,79,Shittin Me,1,True,1,2018-05-13,Fergie Baby,0.866,0.74,1,-6.529,0,0.341,0.183,0.0,0.303,0.609,139.954,4
25,Scoundrevelli,234266,0,79,Scoundrevelli,1,True,1,2020-01-27,Groove Gods Unite,0.881,0.487,0,-10.103,0,0.322,0.232,0.0,0.107,0.799,124.962,4
26,No Games,180869,2,79,YK Season,1,True,1,2019-06-21,YK Dee,0.737,0.725,8,-5.204,1,0.338,0.528,0.0,0.136,0.348,92.194,4
27,Letter To The Struggle,149320,0,79,YK Season,1,True,2,2019-06-21,YK Dee,0.611,0.751,11,-5.762,0,0.481,0.678,0.0,0.0997,0.316,121.317,5
28,No Hesitation,194285,1,79,YK Season,1,True,3,2019-06-21,YK Dee,0.47,0.701,10,-5.954,1,0.301,0.466,0.0,0.101,0.736,112.198,5
29,Bestfriend,199146,3,79,YK Season,1,True,4,2019-06-21,YK Dee,0.848,0.574,9,-8.122,1,0.476,0.0149,0.0,0.108,0.682,134.903,4
30,Give It To Me,201586,0,79,YK Season,1,True,5,2019-06-21,YK Dee,0.467,0.759,9,-6.13,1,0.359,0.217,0.0,0.0879,0.414,100.317,4
31,Recipe,180869,0,79,YK Season,1,True,6,2019-06-21,YK Dee,0.73,0.559,7,-8.204,1,0.278,0.12,0.0,0.11,0.315,137.982,4
32,Meant To Be,170666,2,79,YK Season,1,True,7,2019-06-21,YK Dee,0.463,0.627,1,-6.8,1,0.27,0.131,0.0,0.138,0.366,90.152,4
33,One Day,205243,0,79,YK Season,1,True,8,2019-06-21,YK Dee,0.569,0.476,9,-13.779,0,0.36,0.0428,0.0,0.0939,0.377,107.097,5
34,Block Dream,172455,0,79,YK Season,1,True,9,2019-06-21,YK Dee,0.499,0.707,9,-7.429,0,0.339,0.395,0.0,0.122,0.438,110.259,5
35,I'm L.I.T. (Intro),183066,0,79,Born With Tha Drip,1,True,1,2019-01-04,Yung Quando,0.846,0.552,0,-11.851,0,0.279,0.291,0.0,0.121,0.493,130.047,4
36,Jack,228388,0,79,Born With Tha Drip,1,True,2,2019-01-04,Yung Quando,0.852,0.242,1,-20.303,0,0.295,0.154,0.00145,0.0841,0.168,135.004,4
37,Active,169302,0,79,Born With Tha Drip,1,True,3,2019-01-04,Yung Quando,0.768,0.565,7,-9.423,1,0.276,0.327,0.0,0.0673,0.731,129.03,4
38,Big Blunts,138947,0,79,Born With Tha Drip,1,True,4,2019-01-04,Yung Quando,0.728,0.399,11,-11.917,0,0.201,0.138,1.5e-05,0.109,0.121,75.97,4
39,"Bigger House, Bigger Safe",208065,0,79,Born With Tha Drip,1,True,5,2019-01-04,Yung Quando,0.849,0.469,1,-12.74,0,0.4,0.035,1.92e-05,0.372,0.368,149.998,4
40,Slime,182000,0,79,Born With Tha Drip,1,True,6,2019-01-04,Yung Quando,0.841,0.491,2,-12.201,1,0.16,0.438,2.42e-05,0.138,0.216,120.049,4
41,Money Bags,161071,0,79,Born With Tha Drip,1,True,7,2019-01-04,Yung Quando,0.679,0.772,0,-3.461,0,0.34,0.461,0.0,0.512,0.506,158.025,4
42,4life,154838,0,79,Born With Tha Drip,1,True,8,2019-01-04,Yung Quando,0.539,0.436,7,-13.778,0,0.0511,0.162,0.00395,0.094,0.252,154.989,4
43,New Chain,178468,0,79,New Chain,1,True,1,2018-11-08,Kongo The Rockstar,0.815,0.583,2,-5.708,1,0.49,0.191,0.0,0.112,0.357,146.1,4
44,Treat You Nice,212375,0,79,Treat You Nice,1,False,1,2019-01-25,Lowry,0.751,0.627,10,-5.77,0,0.319,0.237,0.0,0.108,0.338,78.009,4
45,Run a Check,178000,0,79,Run a Check,1,True,1,2019-10-25,UP,0.848,0.395,6,-11.077,0,0.333,0.706,3.67e-06,0.1,0.177,117.977,4
